degree,section,course_code,course_name
Bachelor of Accounting,Standard study plans,ACCT3006,UO Sustainability Accounting and Reporting
Bachelor of Accounting,Standard study plans,LAWS3007,UO Taxation Law 1
Bachelor of Accounting,Standard study plans,BUSI3034,UO Strategic Financial Analysis
Bachelor of Accounting,Standard study plans,-,Elective
Bachelor of Accounting,Standard study plans,-,Elective
Bachelor of Accounting,Standard study plans,-,Elective
Bachelor of Business,Common core,COREX001,An Ethically Rich Life
Bachelor of Business,Common core,COREX002,Fact or Fiction: Data for Everyone
Bachelor of Business,Common core,COREX003,Igniting Change: Ideas to Action
Bachelor of Business,Common core,COREX004,"Proppa Ways, Future Practice"
Bachelor of Business,Common core,COREX005,"Responsible AI: Bridging Ethics, Education and Industry"
Bachelor of Business,Common core,COREX006,"Ways of Being, Ways of Seeing"
Bachelor of Business,Program core,ACCT1000,Accounting for Decision Makers
Bachelor of Business,Program core,BUSI1002,"Management, Organisations and Leadership"
Bachelor of Business,Program core,BUSI2001,"Emerging Technologies, Data and Business Analytics"
Bachelor of Business,Program core,MARK1000,Marketing Principles
Bachelor of Business,Program core selectives,BUSI1001,Business Law
Bachelor of Business,Program core selectives,BUSI2002,"Negotiation, Conflict Management and Resolution"
Bachelor of Business,Program core selectives,BUSI3013,Strategic Management
Bachelor of Business,Program core selectives,ECON1000,Principles of Economics
Bachelor of Business,Program core selectives,MDIA2021,Research Methods in Media and Communication
Bachelor of Business,Program core selectives,MDIA2022,"Media Law, Policy and Ethics"
Bachelor of Business,Program core selectives,MDIA2102,Promotional Culture
Bachelor of Business,Program core selectives,MDIA3017,Strategic Planning for Media and Communication
Bachelor of Business,Program core selectives,GRAP1004,Digital Design Principles and Methods
Bachelor of Business,Program core selectives,PROJ1000,Foundations of Project Management
Bachelor of Business,Program core selectives,PROJ1001,Scheduling and Cost Management
Bachelor of Business,Program core selectives,PROJ3006,Project Logistics and Supply Chains
Bachelor of Business,Rules and notes,BUSI1005,eChallenge
Bachelor of Business,Rules and notes,BUSI2900,WIL/ Profession
Bachelor of Business,Rules and notes,BUSI2901,WIL / Profession
Bachelor of Business,Rules and notes,BUSI2007,Business Lifecycles
Bachelor of Business,Rules and notes,BUSI2390,WIL (Procurement and Supply Chain Management)
Bachelor of Business,Rules and notes,SPOR2900,Sport Practicum 1
Bachelor of Business,Rules and notes,SPOR3900,Sport Practicum 2
Bachelor of Business,Rules and notes,MARK3900,Integrated Marketing
Bachelor of Business,Rules and notes,MDIA3016,Strategic Communication in Practice
Bachelor of Business,Rules and notes,PROJ2900,WIL
Bachelor of Business,Rules and notes,PROJ3000,Project Management Professional Practice
Bachelor of Business,Elective - Open,AUXX1011,Elective 1
Bachelor of Business,Elective - Open,AUXX1012,Elective 2
Bachelor of Business,Elective - Open,AUXX1013,Elective 3
Bachelor of Business,Elective - Open,AUXX1014,Elective 4
Bachelor of Business,Program electives - Procurement and Supply Chain Management major,BUSI3009,Negotiated Project in the Bachelor of Business (P and SCM)
