degree_name,course_code,course_name,stream_clean
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",PROJ1001,Scheduling and Cost Management,Program Core
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",PROJ3006,Project Logistics and Supply Chains,Program Core
Bachelor of Business majoring in International Business,ACCT1000,Accounting for Decision Makers,Program Core
Bachelor of Business majoring in International Business,BUSI1002,"Management, Organisations and Leadership",Program Core
Bachelor of Business majoring in International Business,BUSI2001,"Emerging Technologies, Data and Business Analytics",Program Core
Bachelor of Business majoring in International Business,MARK1000,Marketing Principles,Program Core
Bachelor of Business majoring in International Business,BUSI1001,Business Law,Program Core
Bachelor of Business majoring in International Business,BUSI2002,"Negotiation, Conflict Management and Resolution",Program Core
Bachelor of Business majoring in International Business,BUSI3013,Strategic Management,Program Core
Bachelor of Business majoring in International Business,ECON1000,Principles of Economics,Program Core
Bachelor of Business majoring in International Business,MDIA2021,Research Methods in Media and Communication,Program Core
Bachelor of Business majoring in International Business,MDIA2022,"Media Law, Policy and Ethics",Program Core
Bachelor of Business majoring in International Business,MDIA2102,Promotional Culture,Program Core
Bachelor of Business majoring in International Business,MDIA3017,Strategic Planning for Media and Communication,Program Core
Bachelor of Business majoring in International Business,GRAP1004,Digital Design Principles and Methods,Program Core
Bachelor of Business majoring in International Business,PROJ1000,Foundations of Project Management,Program Core
Bachelor of Business majoring in International Business,PROJ1001,Scheduling and Cost Management,Program Core
Bachelor of Business majoring in International Business,PROJ3006,Project Logistics and Supply Chains,Program Core
Bachelor of Business majoring in Management,ACCT1000,Accounting for Decision Makers,Program Core
Bachelor of Business majoring in Management,BUSI1002,"Management, Organisations and Leadership",Program Core
Bachelor of Business majoring in Management,BUSI2001,"Emerging Technologies, Data and Business Analytics",Program Core
Bachelor of Business majoring in Management,MARK1000,Marketing Principles,Program Core
Bachelor of Business majoring in Management,BUSI1001,Business Law,Program Core
Bachelor of Business majoring in Management,BUSI2002,"Negotiation, Conflict Management and Resolution",Program Core
Bachelor of Business majoring in Management,BUSI3013,Strategic Management,Program Core
Bachelor of Business majoring in Management,ECON1000,Principles of Economics,Program Core
Bachelor of Business majoring in Management,MDIA2021,Research Methods in Media and Communication,Program Core
Bachelor of Business majoring in Management,MDIA2022,"Media Law, Policy and Ethics",Program Core
Bachelor of Business majoring in Management,MDIA2102,Promotional Culture,Program Core
Bachelor of Business majoring in Management,MDIA3017,Strategic Planning for Media and Communication,Program Core
Bachelor of Business majoring in Management,GRAP1004,Digital Design Principles and Methods,Program Core
Bachelor of Business majoring in Management,PROJ1000,Foundations of Project Management,Program Core
Bachelor of Business majoring in Management,PROJ1001,Scheduling and Cost Management,Program Core
Bachelor of Business majoring in Management,PROJ3006,Project Logistics and Supply Chains,Program Core
Bachelor of Business majoring in Marketing,ACCT1000,Accounting for Decision Makers,Program Core
Bachelor of Business majoring in Marketing,BUSI1002,"Management, Organisations and Leadership",Program Core
Bachelor of Business majoring in Marketing,BUSI2001,"Emerging Technologies, Data and Business Analytics",Program Core
